"Gender";"Year";"Age";"Country";"imputed_flag";"mx";"logmx"
"Female";1951;28;"CHE";"FALSE";0.00129;-6.65311306060856
"Female";1951;29;"CHE";"FALSE";0.001241;-6.69183777275967
"Female";1951;30;"CHE";"FALSE";0.001058;-6.85137494554603
"Female";1951;31;"CHE";"FALSE";0.001315;-6.63391861335241
"Female";1951;32;"CHE";"FALSE";0.001869;-6.28235175050871
"Female";1951;33;"CHE";"FALSE";0.002064;-6.18310943136282
"Female";1951;34;"CHE";"FALSE";0.001517;-6.49102057861574
"Female";1951;35;"CHE";"FALSE";0.001864;-6.28503056271874
"Female";1951;36;"CHE";"FALSE";0.001732;-6.35847846884189
"Female";1951;37;"CHE";"FALSE";0.002032;-6.1987347492659
"Female";1951;38;"CHE";"FALSE";0.00196;-6.23481080573971
"Female";1951;39;"CHE";"FALSE";0.001807;-6.31608726737205
"Female";1951;40;"CHE";"FALSE";0.00234;-6.05760434961253
"Female";1951;41;"CHE";"FALSE";0.002832;-5.86677210315066
"Female";1951;42;"CHE";"FALSE";0.002686;-5.91970218088109
"Female";1951;43;"CHE";"FALSE";0.002421;-6.02357460102622
"Female";1951;44;"CHE";"FALSE";0.003085;-5.78120362162479
"Female";1951;45;"CHE";"FALSE";0.003731;-5.59107898474312
"Female";1951;46;"CHE";"FALSE";0.0041;-5.49676830527187
"Female";1951;47;"CHE";"FALSE";0.003837;-5.56306446771732
"Female";1951;48;"CHE";"FALSE";0.004653;-5.37024310611963
"Female";1951;49;"CHE";"FALSE";0.00513;-5.27264961979946
"Female";1951;50;"CHE";"FALSE";0.005301;-5.23985979697647
"Female";1951;51;"CHE";"FALSE";0.005441;-5.21379241147835
"Female";1951;52;"CHE";"FALSE";0.005942;-5.12570950194172
"Female";1951;53;"CHE";"FALSE";0.007095;-4.94836496837013
"Female";1951;54;"CHE";"FALSE";0.0067;-5.00564775258522
"Female";1951;55;"CHE";"FALSE";0.007502;-4.89258562732244
"Female";1951;56;"CHE";"FALSE";0.008852;-4.72711185679333
"Female";1951;57;"CHE";"FALSE";0.009661;-4.63965811644676
"Female";1951;58;"CHE";"FALSE";0.010876;-4.52119675221191
"Female";1951;59;"CHE";"FALSE";0.012592;-4.37469358730709
"Female";1951;60;"CHE";"FALSE";0.012887;-4.35153622767588
"Female";1951;61;"CHE";"FALSE";0.015178;-4.18790826800042
"Female";1951;62;"CHE";"FALSE";0.015376;-4.1749474267542
"Female";1951;63;"CHE";"FALSE";0.017825;-4.02715331268178
"Female";1951;64;"CHE";"FALSE";0.021446;-3.84221713118418
"Female";1951;65;"CHE";"FALSE";0.022439;-3.79695476260047
"Female";1951;66;"CHE";"FALSE";0.023527;-3.74960658118386
"Female";1951;67;"CHE";"FALSE";0.026351;-3.63624905405074
"Female";1951;68;"CHE";"FALSE";0.03154;-3.45649869744724
"Female";1951;69;"CHE";"FALSE";0.033248;-3.40376066406532
"Female";1951;70;"CHE";"FALSE";0.03679;-3.30252920986545
"Female";1951;71;"CHE";"FALSE";0.04157;-3.18037652571759
"Female";1951;72;"CHE";"FALSE";0.048438;-3.0274706493412
"Female";1951;73;"CHE";"FALSE";0.057296;-2.85952446572606
"Female";1951;74;"CHE";"FALSE";0.060229;-2.80960131508609
"Female";1951;75;"CHE";"FALSE";0.063902;-2.75040461918391
"Female";1951;76;"CHE";"FALSE";0.07691;-2.56511937191317
"Female";1951;77;"CHE";"FALSE";0.084448;-2.47161931866122
"Female";1951;78;"CHE";"FALSE";0.09448;-2.35936710709303
"Female";1951;79;"CHE";"FALSE";0.101431;-2.28837651462676
"Female";1951;80;"CHE";"FALSE";0.109765;-2.20941356210625
"Female";1951;81;"CHE";"FALSE";0.127184;-2.06212042215138
"Female";1951;82;"CHE";"FALSE";0.139683;-1.96837970945826
"Female";1951;83;"CHE";"FALSE";0.157354;-1.84925723475892
"Female";1951;84;"CHE";"FALSE";0.181016;-1.70916985383311
"Female";1951;85;"CHE";"FALSE";0.188389;-1.66924630495632
"Female";1951;86;"CHE";"FALSE";0.21611;-1.5319677416672
"Female";1951;87;"CHE";"FALSE";0.245597;-1.40406329776747
"Female";1951;88;"CHE";"FALSE";0.237616;-1.43709935369355
"Female";1951;89;"CHE";"FALSE";0.231911;-1.46140160160672
"Female";1951;90;"CHE";"FALSE";0.299926;-1.20421950141983
"Female";1951;91;"CHE";"FALSE";0.305664;-1.18526881953216
"Female";1951;92;"CHE";"FALSE";0.350107;-1.04951645693405
"Female";1951;93;"CHE";"FALSE";0.32983;-1.10917790877289
"Female";1951;94;"CHE";"FALSE";0.344;-1.06711362160874
"Female";1951;95;"CHE";"FALSE";0.708241;-0.344970847729589
"Female";1951;96;"CHE";"FALSE";0.364865;-1.00822785682954
"Female";1951;97;"CHE";"FALSE";0.363636;-1.01160191167898
"Female";1951;98;"CHE";"FALSE";0.372093;-0.988611455953783
"Female";1951;99;"CHE";"FALSE";0.84;-0.174353387144778
"Female";1952;0;"CHE";"FALSE";0.02585;-3.6554446780277
"Female";1952;1;"CHE";"FALSE";0.002538;-5.97637890968994
"Female";1952;2;"CHE";"FALSE";0.001441;-6.54241796196475
"Female";1952;3;"CHE";"FALSE";0.000951;-6.95799649541888
"Female";1952;4;"CHE";"FALSE";0.000963;-6.94545714616615
"Female";1952;5;"CHE";"FALSE";0.000796;-7.13591137211989
"Female";1952;6;"CHE";"FALSE";0.000525;-7.55211229537265
"Female";1952;7;"CHE";"FALSE";0.000514;-7.57328729250911
"Female";1952;8;"CHE";"FALSE";0.000374;-7.89125476054974
"Female";1952;9;"CHE";"FALSE";0.000361;-7.92663259963139
"Female";1952;10;"CHE";"FALSE";0.000333;-8.00736806798383
"Female";1952;11;"CHE";"FALSE";0.000375;-7.88858453199386
"Female";1952;12;"CHE";"FALSE";0.00059;-7.43538802106451
"Female";1952;13;"CHE";"FALSE";0.000199;-8.52220573323978
"Female";1952;14;"CHE";"FALSE";0.000535;-7.53324381106827
"Female";1952;15;"CHE";"FALSE";0.000399;-7.82654914107441
"Female";1952;16;"CHE";"FALSE";0.000605;-7.41028209993343
"Female";1952;17;"CHE";"FALSE";0.000241;-8.33071362447362
"Female";1952;18;"CHE";"FALSE";0.000672;-7.30525221744112
"Female";1952;19;"CHE";"FALSE";0.000728;-7.22520950976759
"Female";1952;20;"CHE";"FALSE";0.000643;-7.34936583372665
"Female";1952;21;"CHE";"FALSE";0.000838;-7.08449245748219
"Female";1952;22;"CHE";"FALSE";0.00088;-7.03558865049202
"Female";1952;23;"CHE";"FALSE";0.000557;-7.49294531803699
"Female";1952;24;"CHE";"FALSE";0.000967;-6.94131206251098
"Female";1952;25;"CHE";"FALSE";0.000774;-7.16393868437455
"Female";1952;26;"CHE";"FALSE";0.000697;-7.26872514720375
"Female";1952;27;"CHE";"FALSE";0.000811;-7.11724250384886
"Female";1952;28;"CHE";"FALSE";0.000975;-6.93307308696643
"Female";1952;29;"CHE";"FALSE";0.001021;-6.88697273979961
"Female";1952;30;"CHE";"FALSE";0.001232;-6.69911641387081
"Female";1952;31;"CHE";"FALSE";0.001517;-6.49102057861574
"Female";1952;32;"CHE";"FALSE";0.0014;-6.57128304236092
"Female";1952;33;"CHE";"FALSE";0.001615;-6.42842032230752
"Female";1952;34;"CHE";"FALSE";0.000921;-6.99005052170897
"Female";1952;35;"CHE";"FALSE";0.001495;-6.50562907213949
"Female";1952;36;"CHE";"FALSE";0.001535;-6.47922489794298
"Female";1952;37;"CHE";"FALSE";0.001514;-6.49300012396688
"Female";1952;38;"CHE";"FALSE";0.001573;-6.454770654906
"Female";1952;39;"CHE";"FALSE";0.002106;-6.16296486527035
"Female";1952;40;"CHE";"FALSE";0.00182;-6.30891877789343
"Female";1952;41;"CHE";"FALSE";0.0021;-6.16581793425276
"Female";1952;42;"CHE";"FALSE";0.002623;-5.9434365780974
"Female";1952;43;"CHE";"FALSE";0.002533;-5.9783509079626
"Female";1952;44;"CHE";"FALSE";0.002293;-6.07789427510637
"Female";1952;45;"CHE";"FALSE";0.003449;-5.66967094502743
"Female";1952;46;"CHE";"FALSE";0.003381;-5.68958375525639
"Female";1952;47;"CHE";"FALSE";0.003859;-5.55734719642666
"Female";1952;48;"CHE";"FALSE";0.003964;-5.5305016625144
