iteration,score,learning_rate,max_depth,min_child_weight,colsample_bynode,subsample,reg_lambda,reg_alpha,objective,tree_method,eval_metric
383.0,9.811426228959206,0.03,5,0.0001,0.8,1.0,2,0,reg:gamma,hist,gamma-nloglik
381.0,9.813433545185292,0.03,5,0.0,1.0,1.0,0,2,reg:gamma,hist,gamma-nloglik
381.0,9.813433545185292,0.03,5,0.0001,1.0,1.0,0,2,reg:gamma,hist,gamma-nloglik
398.0,9.813562581628016,0.03,5,0.0001,0.8,1.0,0,2,reg:gamma,hist,gamma-nloglik
398.0,9.813562581628016,0.03,5,0.0,0.8,1.0,0,2,reg:gamma,hist,gamma-nloglik
389.0,9.814014299763254,0.03,5,0.0,0.8,1.0,1,2,reg:gamma,hist,gamma-nloglik
389.0,9.814014299763254,0.03,5,0.0001,0.8,1.0,1,2,reg:gamma,hist,gamma-nloglik
378.0,9.815323609773582,0.03,5,0.0001,0.8,0.8,1,1,reg:gamma,hist,gamma-nloglik
378.0,9.815323609773582,0.03,5,0.0,0.8,0.8,1,1,reg:gamma,hist,gamma-nloglik
374.0,9.815814322971038,0.03,5,0.0,1.0,1.0,0,1,reg:gamma,hist,gamma-nloglik
374.0,9.815814322971038,0.03,5,0.0001,1.0,1.0,0,1,reg:gamma,hist,gamma-nloglik
374.0,9.821695865442198,0.03,5,0.0,0.8,0.8,1,0,reg:gamma,hist,gamma-nloglik
374.0,9.821695865442198,0.03,5,0.0001,0.8,0.8,1,0,reg:gamma,hist,gamma-nloglik
376.0,9.822136529055573,0.03,5,0.0,1.0,0.8,1,1,reg:gamma,hist,gamma-nloglik
376.0,9.822136529055573,0.03,5,0.0001,1.0,0.8,1,1,reg:gamma,hist,gamma-nloglik
376.0,9.822503004533838,0.03,5,0.0,0.8,1.0,0,1,reg:gamma,hist,gamma-nloglik
376.0,9.822503004533838,0.03,5,0.0001,0.8,1.0,0,1,reg:gamma,hist,gamma-nloglik
386.0,9.822546057804265,0.03,5,0.0,0.8,0.8,2,0,reg:gamma,hist,gamma-nloglik
386.0,9.822546057804265,0.03,5,0.0001,0.8,0.8,2,0,reg:gamma,hist,gamma-nloglik
368.0,9.825620132486254,0.03,5,0.0001,1.0,0.8,2,1,reg:gamma,hist,gamma-nloglik
368.0,9.825620132486254,0.03,5,0.0,1.0,0.8,2,1,reg:gamma,hist,gamma-nloglik
366.0,9.828235242851223,0.03,5,0.0001,1.0,0.8,2,0,reg:gamma,hist,gamma-nloglik
366.0,9.828235242851223,0.03,5,0.0,1.0,0.8,2,0,reg:gamma,hist,gamma-nloglik
366.0,9.82827836676864,0.03,5,0.0,1.0,0.8,2,2,reg:gamma,hist,gamma-nloglik
366.0,9.82827836676864,0.03,5,0.0001,1.0,0.8,2,2,reg:gamma,hist,gamma-nloglik
368.0,9.828550209872613,0.03,5,0.0,0.8,0.8,0,1,reg:gamma,hist,gamma-nloglik
368.0,9.828550209872613,0.03,5,0.0001,0.8,0.8,0,1,reg:gamma,hist,gamma-nloglik
366.0,9.829870147861389,0.03,5,0.0001,1.0,0.8,1,0,reg:gamma,hist,gamma-nloglik
366.0,9.829870147861389,0.03,5,0.0,1.0,0.8,1,0,reg:gamma,hist,gamma-nloglik
382.0,9.830416517736827,0.03,5,0.0001,1.0,0.8,1,2,reg:gamma,hist,gamma-nloglik
382.0,9.830416517736827,0.03,5,0.0,1.0,0.8,1,2,reg:gamma,hist,gamma-nloglik
384.0,9.830860575479942,0.03,5,0.0001,0.8,0.8,2,1,reg:gamma,hist,gamma-nloglik
384.0,9.830860575479942,0.03,5,0.0,0.8,0.8,2,1,reg:gamma,hist,gamma-nloglik
366.0,9.831511439650926,0.03,5,0.0001,1.0,0.8,0,2,reg:gamma,hist,gamma-nloglik
366.0,9.831511439650926,0.03,5,0.0,1.0,0.8,0,2,reg:gamma,hist,gamma-nloglik
366.0,9.833097948073426,0.03,5,0.0001,1.0,0.8,0,1,reg:gamma,hist,gamma-nloglik
366.0,9.833097948073426,0.03,5,0.0,1.0,0.8,0,1,reg:gamma,hist,gamma-nloglik
383.0,9.893662546933282,0.03,6,0.0,0.8,1.0,2,2,reg:gamma,hist,gamma-nloglik
383.0,9.893662546933282,0.03,6,0.0001,0.8,1.0,2,2,reg:gamma,hist,gamma-nloglik
364.0,9.893860599484936,0.03,6,0.0,0.8,0.8,1,1,reg:gamma,hist,gamma-nloglik
364.0,9.893860599484936,0.03,6,0.0001,0.8,0.8,1,1,reg:gamma,hist,gamma-nloglik
362.0,9.895445711339093,0.03,6,0.0,0.8,1.0,1,1,reg:gamma,hist,gamma-nloglik
362.0,9.895445711339093,0.03,6,0.0001,0.8,1.0,1,1,reg:gamma,hist,gamma-nloglik
370.0,9.896179283319112,0.03,6,0.0001,0.8,1.0,2,1,reg:gamma,hist,gamma-nloglik
370.0,9.896179283319112,0.03,6,0.0,0.8,1.0,2,1,reg:gamma,hist,gamma-nloglik
364.0,9.896702909110907,0.03,6,0.0,0.8,1.0,2,0,reg:gamma,hist,gamma-nloglik
364.0,9.896702909110907,0.03,6,0.0001,0.8,1.0,2,0,reg:gamma,hist,gamma-nloglik
364.0,9.899330528012381,0.03,6,0.0001,0.8,0.8,1,2,reg:gamma,hist,gamma-nloglik
364.0,9.899330528012381,0.03,6,0.0,0.8,0.8,1,2,reg:gamma,hist,gamma-nloglik
379.0,9.899419245205564,0.03,6,0.0001,0.8,1.0,1,2,reg:gamma,hist,gamma-nloglik
379.0,9.899419245205564,0.03,6,0.0,0.8,1.0,1,2,reg:gamma,hist,gamma-nloglik
377.0,9.902184214950307,0.03,6,0.0001,0.8,0.8,2,1,reg:gamma,hist,gamma-nloglik
377.0,9.902184214950307,0.03,6,0.0,0.8,0.8,2,1,reg:gamma,hist,gamma-nloglik
364.0,9.904788272711935,0.03,6,0.0001,0.8,0.8,2,0,reg:gamma,hist,gamma-nloglik
364.0,9.904788272711935,0.03,6,0.0,0.8,0.8,2,0,reg:gamma,hist,gamma-nloglik
386.0,9.907147787896207,0.03,6,0.0001,0.8,0.8,2,2,reg:gamma,hist,gamma-nloglik
386.0,9.907147787896207,0.03,6,0.0,0.8,0.8,2,2,reg:gamma,hist,gamma-nloglik
362.0,9.910862554901872,0.03,6,0.0001,0.8,1.0,0,2,reg:gamma,hist,gamma-nloglik
362.0,9.910862554901872,0.03,6,0.0,0.8,1.0,0,2,reg:gamma,hist,gamma-nloglik
363.0,9.91128003634569,0.03,6,0.0,1.0,1.0,2,2,reg:gamma,hist,gamma-nloglik
363.0,9.91128003634569,0.03,6,0.0001,1.0,1.0,2,2,reg:gamma,hist,gamma-nloglik
372.0,9.914924658896908,0.03,6,0.0001,1.0,1.0,1,2,reg:gamma,hist,gamma-nloglik
372.0,9.914924658896908,0.03,6,0.0,1.0,1.0,1,2,reg:gamma,hist,gamma-nloglik
376.0,9.915384139742482,0.03,6,0.0,0.8,0.8,1,0,reg:gamma,hist,gamma-nloglik
376.0,9.915384139742482,0.03,6,0.0001,0.8,0.8,1,0,reg:gamma,hist,gamma-nloglik
371.0,9.915809699096727,0.03,6,0.0,1.0,1.0,1,1,reg:gamma,hist,gamma-nloglik
371.0,9.915809699096727,0.03,6,0.0001,1.0,1.0,1,1,reg:gamma,hist,gamma-nloglik
362.0,9.919807944814652,0.03,6,0.0001,0.8,0.8,0,2,reg:gamma,hist,gamma-nloglik
362.0,9.919807944814652,0.03,6,0.0,0.8,0.8,0,2,reg:gamma,hist,gamma-nloglik
357.0,9.920283646720707,0.03,6,0.0,0.8,1.0,1,0,reg:gamma,hist,gamma-nloglik
357.0,9.920283646720707,0.03,6,0.0001,0.8,1.0,1,0,reg:gamma,hist,gamma-nloglik
366.0,9.920868253371339,0.03,6,0.0001,1.0,1.0,2,1,reg:gamma,hist,gamma-nloglik
366.0,9.920868253371339,0.03,6,0.0,1.0,1.0,2,1,reg:gamma,hist,gamma-nloglik
350.0,9.9210444771982,0.03,6,0.0,0.8,0.8,0,1,reg:gamma,hist,gamma-nloglik
350.0,9.9210444771982,0.03,6,0.0001,0.8,0.8,0,1,reg:gamma,hist,gamma-nloglik
365.0,9.921915298678764,0.03,6,0.0001,1.0,1.0,2,0,reg:gamma,hist,gamma-nloglik
365.0,9.921915298678764,0.03,6,0.0,1.0,1.0,2,0,reg:gamma,hist,gamma-nloglik
308.0,9.922159195468176,0.03,4,0.0001,0.8,0.8,0,0,reg:gamma,hist,gamma-nloglik
308.0,9.922159195468176,0.03,4,0.0,0.8,0.8,0,0,reg:gamma,hist,gamma-nloglik
389.0,9.922980555521747,0.03,6,0.0,1.0,1.0,1,0,reg:gamma,hist,gamma-nloglik
389.0,9.922980555521747,0.03,6,0.0001,1.0,1.0,1,0,reg:gamma,hist,gamma-nloglik
358.0,9.92447943228999,0.03,6,0.0001,1.0,0.8,1,2,reg:gamma,hist,gamma-nloglik
358.0,9.92447943228999,0.03,6,0.0,1.0,0.8,1,2,reg:gamma,hist,gamma-nloglik
363.0,9.92914952056869,0.03,6,0.0001,1.0,0.8,1,1,reg:gamma,hist,gamma-nloglik
363.0,9.92914952056869,0.03,6,0.0,1.0,0.8,1,1,reg:gamma,hist,gamma-nloglik
377.0,9.92978664253576,0.03,6,0.0,1.0,1.0,0,2,reg:gamma,hist,gamma-nloglik
377.0,9.92978664253576,0.03,6,0.0001,1.0,1.0,0,2,reg:gamma,hist,gamma-nloglik
364.0,9.931282763692531,0.03,6,0.0001,0.8,1.0,0,1,reg:gamma,hist,gamma-nloglik
364.0,9.931282763692531,0.03,6,0.0,0.8,1.0,0,1,reg:gamma,hist,gamma-nloglik
364.0,9.931288202574079,0.03,6,0.0,1.0,0.8,2,2,reg:gamma,hist,gamma-nloglik
364.0,9.931288202574079,0.03,6,0.0001,1.0,0.8,2,2,reg:gamma,hist,gamma-nloglik
364.0,9.931740247881681,0.03,6,0.0001,1.0,0.8,2,1,reg:gamma,hist,gamma-nloglik
364.0,9.931740247881681,0.03,6,0.0,1.0,0.8,2,1,reg:gamma,hist,gamma-nloglik
358.0,9.934239753962022,0.03,6,0.0,1.0,0.8,0,2,reg:gamma,hist,gamma-nloglik
358.0,9.934239753962022,0.03,6,0.0001,1.0,0.8,0,2,reg:gamma,hist,gamma-nloglik
368.0,9.936664090670964,0.03,6,0.0,1.0,0.8,1,0,reg:gamma,hist,gamma-nloglik
368.0,9.936664090670964,0.03,6,0.0001,1.0,0.8,1,0,reg:gamma,hist,gamma-nloglik
364.0,9.943077255141938,0.03,6,0.0001,1.0,0.8,2,0,reg:gamma,hist,gamma-nloglik
364.0,9.943077255141938,0.03,6,0.0,1.0,0.8,2,0,reg:gamma,hist,gamma-nloglik
355.0,9.943979887148085,0.03,6,0.0001,1.0,1.0,0,1,reg:gamma,hist,gamma-nloglik
355.0,9.943979887148085,0.03,6,0.0,1.0,1.0,0,1,reg:gamma,hist,gamma-nloglik
358.0,9.956927982007114,0.03,6,0.0,1.0,0.8,0,1,reg:gamma,hist,gamma-nloglik
358.0,9.956927982007114,0.03,6,0.0001,1.0,0.8,0,1,reg:gamma,hist,gamma-nloglik
305.0,9.958811507246537,0.03,4,0.0001,1.0,0.8,0,0,reg:gamma,hist,gamma-nloglik
305.0,9.958811507246537,0.03,4,0.0,1.0,0.8,0,0,reg:gamma,hist,gamma-nloglik
302.0,10.059277808775903,0.03,5,0.0,0.8,0.8,0,0,reg:gamma,hist,gamma-nloglik
302.0,10.059277808775903,0.03,5,0.0001,0.8,0.8,0,0,reg:gamma,hist,gamma-nloglik
300.0,10.152320880058653,0.03,6,0.0001,0.8,1.0,0,0,reg:gamma,hist,gamma-nloglik
300.0,10.152320880058653,0.03,6,0.0,0.8,1.0,0,0,reg:gamma,hist,gamma-nloglik
284.0,10.25226391973878,0.03,5,0.0,1.0,1.0,0,0,reg:gamma,hist,gamma-nloglik
284.0,10.25226391973878,0.03,5,0.0001,1.0,1.0,0,0,reg:gamma,hist,gamma-nloglik
283.0,10.344688127074352,0.03,5,0.0,1.0,0.8,0,0,reg:gamma,hist,gamma-nloglik
283.0,10.344688127074352,0.03,5,0.0001,1.0,0.8,0,0,reg:gamma,hist,gamma-nloglik
280.0,10.3524257353066,0.03,5,0.0,0.8,1.0,0,0,reg:gamma,hist,gamma-nloglik
280.0,10.3524257353066,0.03,5,0.0001,0.8,1.0,0,0,reg:gamma,hist,gamma-nloglik
277.0,10.577616820083417,0.03,6,0.0001,1.0,1.0,0,0,reg:gamma,hist,gamma-nloglik
277.0,10.577616820083417,0.03,6,0.0,1.0,1.0,0,0,reg:gamma,hist,gamma-nloglik
276.0,10.693036183011783,0.03,6,0.0,1.0,0.8,0,0,reg:gamma,hist,gamma-nloglik
276.0,10.693036183011783,0.03,6,0.0001,1.0,0.8,0,0,reg:gamma,hist,gamma-nloglik
264.0,11.02830793481683,0.03,6,0.0001,0.8,0.8,0,0,reg:gamma,hist,gamma-nloglik
264.0,11.02830793481683,0.03,6,0.0,0.8,0.8,0,0,reg:gamma,hist,gamma-nloglik
