iteration,score,learning_rate,max_depth,min_child_weight,colsample_bynode,subsample,reg_lambda,reg_alpha,objective,tree_method,eval_metric
493.0,0.41360473531681174,0.01,4,0.0001,1.0,0.8,1,1,binary:logistic,hist,logloss
628.0,0.41362344530234746,0.01,3,0.0001,0.8,1.0,1,1,binary:logistic,hist,logloss
628.0,0.41362344530234746,0.01,3,0.0,0.8,1.0,1,1,binary:logistic,hist,logloss
417.0,0.41368666996769266,0.01,4,0.0,1.0,0.8,1,0,binary:logistic,hist,logloss
417.0,0.41368666996769266,0.01,4,0.0001,1.0,0.8,1,0,binary:logistic,hist,logloss
417.0,0.41374527685130247,0.01,4,0.0001,0.8,0.8,0,0,binary:logistic,hist,logloss
417.0,0.41374527685130247,0.01,4,0.0,0.8,0.8,0,0,binary:logistic,hist,logloss
458.0,0.41380735187708806,0.01,4,0.0001,1.0,0.8,0,1,binary:logistic,hist,logloss
458.0,0.41380735187708806,0.01,4,0.0,1.0,0.8,0,1,binary:logistic,hist,logloss
629.0,0.4139581071404228,0.01,3,0.0,1.0,1.0,0,0,binary:logistic,hist,logloss
629.0,0.4139581071404228,0.01,3,0.0001,1.0,1.0,0,0,binary:logistic,hist,logloss
685.0,0.4140431739123752,0.01,3,0.0,1.0,1.0,2,2,binary:logistic,hist,logloss
685.0,0.4140431739123752,0.01,3,0.0001,1.0,1.0,2,2,binary:logistic,hist,logloss
613.0,0.41407957270497847,0.01,3,0.0001,1.0,1.0,0,1,binary:logistic,hist,logloss
613.0,0.41407957270497847,0.01,3,0.0,1.0,1.0,0,1,binary:logistic,hist,logloss
639.0,0.4140894030592367,0.01,3,0.0001,1.0,1.0,2,0,binary:logistic,hist,logloss
639.0,0.4140894030592367,0.01,3,0.0,1.0,1.0,2,0,binary:logistic,hist,logloss
557.0,0.4140906068307421,0.01,3,0.0001,1.0,1.0,1,0,binary:logistic,hist,logloss
557.0,0.4140906068307421,0.01,3,0.0,1.0,1.0,1,0,binary:logistic,hist,logloss
667.0,0.41415463179534634,0.01,3,0.0,1.0,1.0,1,2,binary:logistic,hist,logloss
667.0,0.41415463179534634,0.01,3,0.0001,1.0,1.0,1,2,binary:logistic,hist,logloss
650.0,0.41418357236892883,0.01,3,0.0001,1.0,1.0,2,1,binary:logistic,hist,logloss
650.0,0.41418357236892883,0.01,3,0.0,1.0,1.0,2,1,binary:logistic,hist,logloss
619.0,0.4141952204640754,0.01,3,0.0,1.0,1.0,1,1,binary:logistic,hist,logloss
619.0,0.4141952204640754,0.01,3,0.0001,1.0,1.0,1,1,binary:logistic,hist,logloss
652.0,0.41420640671278025,0.01,3,0.0001,1.0,1.0,0,2,binary:logistic,hist,logloss
652.0,0.41420640671278025,0.01,3,0.0,1.0,1.0,0,2,binary:logistic,hist,logloss
417.0,0.4143174522346662,0.01,4,0.0001,1.0,0.8,0,0,binary:logistic,hist,logloss
417.0,0.4143174522346662,0.01,4,0.0,1.0,0.8,0,0,binary:logistic,hist,logloss
467.0,0.41449965872914935,0.01,4,0.0,0.8,1.0,2,1,binary:logistic,hist,logloss
467.0,0.41449965872914935,0.01,4,0.0001,0.8,1.0,2,1,binary:logistic,hist,logloss
515.0,0.41462030087643464,0.01,4,0.0001,0.8,1.0,2,2,binary:logistic,hist,logloss
515.0,0.41462030087643464,0.01,4,0.0,0.8,1.0,2,2,binary:logistic,hist,logloss
509.0,0.41463219123383965,0.01,4,0.0001,0.8,1.0,1,2,binary:logistic,hist,logloss
509.0,0.41463219123383965,0.01,4,0.0,0.8,1.0,1,2,binary:logistic,hist,logloss
416.0,0.4146730524528445,0.01,5,0.0,0.8,0.8,1,2,binary:logistic,hist,logloss
416.0,0.4146730524528445,0.01,5,0.0001,0.8,0.8,1,2,binary:logistic,hist,logloss
457.0,0.4146902991993845,0.01,4,0.0,0.8,1.0,2,0,binary:logistic,hist,logloss
457.0,0.4146902991993845,0.01,4,0.0001,0.8,1.0,2,0,binary:logistic,hist,logloss
413.0,0.41480123469968044,0.01,5,0.0001,0.8,0.8,2,2,binary:logistic,hist,logloss
413.0,0.41480123469968044,0.01,5,0.0,0.8,0.8,2,2,binary:logistic,hist,logloss
416.0,0.4148294147099095,0.01,5,0.0,0.8,0.8,2,1,binary:logistic,hist,logloss
416.0,0.4148294147099095,0.01,5,0.0001,0.8,0.8,2,1,binary:logistic,hist,logloss
363.0,0.4148337415676962,0.01,5,0.0001,0.8,0.8,1,1,binary:logistic,hist,logloss
363.0,0.4148337415676962,0.01,5,0.0,0.8,0.8,1,1,binary:logistic,hist,logloss
452.0,0.4149197181119749,0.01,4,0.0001,0.8,1.0,1,1,binary:logistic,hist,logloss
452.0,0.4149197181119749,0.01,4,0.0,0.8,1.0,1,1,binary:logistic,hist,logloss
449.0,0.4149429555274374,0.01,4,0.0001,0.8,1.0,1,0,binary:logistic,hist,logloss
449.0,0.4149429555274374,0.01,4,0.0,0.8,1.0,1,0,binary:logistic,hist,logloss
383.0,0.4149451839828499,0.01,5,0.0,0.8,0.8,2,0,binary:logistic,hist,logloss
383.0,0.4149451839828499,0.01,5,0.0001,0.8,0.8,2,0,binary:logistic,hist,logloss
475.0,0.4149854289184378,0.01,4,0.0001,1.0,1.0,2,2,binary:logistic,hist,logloss
475.0,0.4149854289184378,0.01,4,0.0,1.0,1.0,2,2,binary:logistic,hist,logloss
417.0,0.41501684313908127,0.01,5,0.0001,0.8,0.8,0,2,binary:logistic,hist,logloss
417.0,0.41501684313908127,0.01,5,0.0,0.8,0.8,0,2,binary:logistic,hist,logloss
439.0,0.41502020394452066,0.01,5,0.0,1.0,0.8,2,2,binary:logistic,hist,logloss
439.0,0.41502020394452066,0.01,5,0.0001,1.0,0.8,2,2,binary:logistic,hist,logloss
473.0,0.41503119472487005,0.01,4,0.0001,0.8,1.0,0,2,binary:logistic,hist,logloss
473.0,0.41503119472487005,0.01,4,0.0,0.8,1.0,0,2,binary:logistic,hist,logloss
420.0,0.4151135185022355,0.01,4,0.0001,0.8,1.0,0,1,binary:logistic,hist,logloss
420.0,0.4151135185022355,0.01,4,0.0,0.8,1.0,0,1,binary:logistic,hist,logloss
369.0,0.4151470004484228,0.01,5,0.0001,0.8,0.8,0,1,binary:logistic,hist,logloss
